,dataset,algorithm,n_clusters,init,n_init,max_iter,silhouette_score,adjusted_rand_score,f1_score,execution_time,linkage,metric,n_components,covariance_type,init_params,damping,convergence_iter,affinity
0,iris,KMeans,2.0,k-means++,10.0,300.0,0.6863930543445408,0.5681159420289855,0.5555555555555555,0.5702264308929443,,,,,,,,
1,iris,KMeans,2.0,k-means++,10.0,500.0,0.6863930543445408,0.5681159420289855,0.5555555555555555,0.6002407073974609,,,,,,,,
2,iris,KMeans,2.0,k-means++,20.0,300.0,0.6863930543445408,0.5681159420289855,0.5555555555555555,0.5762228965759277,,,,,,,,
3,iris,KMeans,2.0,k-means++,20.0,500.0,0.6863930543445408,0.5681159420289855,0.5555555555555555,0.5792279243469238,,,,,,,,
4,iris,KMeans,2.0,random,10.0,300.0,0.6863930543445408,0.5681159420289855,0.5555555555555555,0.572221040725708,,,,,,,,
5,iris,KMeans,2.0,random,10.0,500.0,0.6863930543445408,0.5681159420289855,0.5555555555555555,0.572221040725708,,,,,,,,
6,iris,KMeans,2.0,random,20.0,300.0,0.6863930543445408,0.5681159420289855,0.5555555555555555,0.574230432510376,,,,,,,,
7,iris,KMeans,2.0,random,20.0,500.0,0.6863930543445408,0.5681159420289855,0.5555555555555555,0.5942552089691162,,,,,,,,
8,iris,KMeans,3.0,k-means++,10.0,300.0,0.5493531211013167,0.7163421126838476,0.8852785369639302,0.5692307949066162,,,,,,,,
9,iris,KMeans,3.0,k-means++,10.0,500.0,0.5493531211013167,0.7163421126838476,0.8852785369639302,0.5742318630218506,,,,,,,,
10,iris,KMeans,3.0,k-means++,20.0,300.0,0.5493531211013167,0.7163421126838476,0.8852785369639302,0.5922496318817139,,,,,,,,
11,iris,KMeans,3.0,k-means++,20.0,500.0,0.5493531211013167,0.7163421126838476,0.8852785369639302,0.5962460041046143,,,,,,,,
12,iris,KMeans,3.0,random,10.0,300.0,0.5493531211013167,0.7163421126838476,0.8852785369639302,0.574230432510376,,,,,,,,
13,iris,KMeans,3.0,random,10.0,500.0,0.5493531211013167,0.7163421126838476,0.8852785369639302,0.564694881439209,,,,,,,,
14,iris,KMeans,3.0,random,20.0,300.0,0.5493531211013167,0.7163421126838476,0.8852785369639302,0.5802202224731445,,,,,,,,
15,iris,KMeans,3.0,random,20.0,500.0,0.5493531211013167,0.7163421126838476,0.8852785369639302,0.5762302875518799,,,,,,,,
16,iris,KMeans,4.0,k-means++,10.0,300.0,0.4780994385072526,0.6230929299814632,0.6044303797468354,0.03800845146179199,,,,,,,,
17,iris,KMeans,4.0,k-means++,10.0,500.0,0.4780994385072526,0.6230929299814632,0.6044303797468354,0.04300284385681152,,,,,,,,
18,iris,KMeans,4.0,k-means++,20.0,300.0,0.4780994385072526,0.6230929299814632,0.6044303797468354,0.07859635353088379,,,,,,,,
19,iris,KMeans,4.0,k-means++,20.0,500.0,0.4780994385072526,0.6230929299814632,0.6044303797468354,0.06704258918762207,,,,,,,,
20,iris,KMeans,4.0,random,10.0,300.0,0.4780994385072526,0.6230929299814632,0.6044303797468354,0.03399658203125,,,,,,,,
21,iris,KMeans,4.0,random,10.0,500.0,0.4764600750578482,0.6206329421473108,0.6043370210036877,0.037999629974365234,,,,,,,,
22,iris,KMeans,4.0,random,20.0,300.0,0.4780994385072526,0.6230929299814632,0.6044303797468354,0.053049564361572266,,,,,,,,
23,iris,KMeans,4.0,random,20.0,500.0,0.4780994385072526,0.6230929299814632,0.6044303797468354,0.05305933952331543,,,,,,,,
24,iris,KMeans,5.0,k-means++,10.0,300.0,0.3508871659207448,0.4670212076986913,0.42713404738721195,0.04604172706604004,,,,,,,,
25,iris,KMeans,5.0,k-means++,10.0,500.0,0.3457643273931072,0.46316496612472247,0.42372935706269044,0.05104851722717285,,,,,,,,
26,iris,KMeans,5.0,k-means++,20.0,300.0,0.3483675902819906,0.46569394095542876,0.4238040440572086,0.08559179306030273,,,,,,,,
27,iris,KMeans,5.0,k-means++,20.0,500.0,0.3508871659207448,0.4670212076986913,0.42713404738721195,0.08359146118164062,,,,,,,,
28,iris,KMeans,5.0,random,10.0,300.0,0.3556866695976458,0.4739736169674862,0.42532467532467527,0.035051822662353516,,,,,,,,
