,dataset,algorithm,n_clusters,init,n_init,max_iter,silhouette_score,adjusted_rand_score,f1_score,execution_time,linkage,metric
0,iris,KMeans,2,k-means++,10.0,300.0,0.6863930543445408,0.5681159420289855,0.5555555555555555,0.6065618991851807,,
1,iris,KMeans,2,k-means++,10.0,500.0,0.6863930543445408,0.5681159420289855,0.5555555555555555,0.6075680255889893,,
2,iris,KMeans,2,k-means++,20.0,300.0,0.6863930543445408,0.5681159420289855,0.5555555555555555,0.6135594844818115,,
3,iris,KMeans,2,k-means++,20.0,500.0,0.6863930543445408,0.5681159420289855,0.5555555555555555,0.6085736751556396,,
4,iris,KMeans,2,random,10.0,300.0,0.6863930543445408,0.5681159420289855,0.5555555555555555,0.6115658283233643,,
5,iris,KMeans,2,random,10.0,500.0,0.6863930543445408,0.5681159420289855,0.5555555555555555,0.60955810546875,,
6,iris,KMeans,2,random,20.0,300.0,0.6863930543445408,0.5681159420289855,0.5555555555555555,0.6315703392028809,,
7,iris,KMeans,2,random,20.0,500.0,0.6863930543445408,0.5681159420289855,0.5555555555555555,0.6075534820556641,,
8,iris,KMeans,3,k-means++,10.0,300.0,0.5493531211013167,0.7163421126838476,0.8852785369639302,0.6125631332397461,,
9,iris,KMeans,3,k-means++,10.0,500.0,0.5493531211013167,0.7163421126838476,0.8852785369639302,0.6065618991851807,,
10,iris,KMeans,3,k-means++,20.0,300.0,0.5493531211013167,0.7163421126838476,0.8852785369639302,0.6195580959320068,,
11,iris,KMeans,3,k-means++,20.0,500.0,0.5493531211013167,0.7163421126838476,0.8852785369639302,0.6225557327270508,,
12,iris,KMeans,3,random,10.0,300.0,0.5493531211013167,0.7163421126838476,0.8852785369639302,0.6135530471801758,,
13,iris,KMeans,3,random,10.0,500.0,0.5493531211013167,0.7163421126838476,0.8852785369639302,0.6065618991851807,,
14,iris,KMeans,3,random,20.0,300.0,0.5493531211013167,0.7163421126838476,0.8852785369639302,0.6145572662353516,,
15,iris,KMeans,3,random,20.0,500.0,0.5493531211013167,0.7163421126838476,0.8852785369639302,0.6085488796234131,,
16,iris,KMeans,4,k-means++,10.0,300.0,0.4780994385072526,0.6230929299814632,0.6044303797468354,0.03900146484375,,
17,iris,KMeans,4,k-means++,10.0,500.0,0.4780994385072526,0.6230929299814632,0.6044303797468354,0.0359959602355957,,
18,iris,KMeans,4,k-means++,20.0,300.0,0.4780994385072526,0.6230929299814632,0.6044303797468354,0.05900096893310547,,
19,iris,KMeans,4,k-means++,20.0,500.0,0.4780994385072526,0.6230929299814632,0.6044303797468354,0.06400823593139648,,
20,iris,KMeans,4,random,10.0,300.0,0.4807553735557849,0.610664611861335,0.5962107512740424,0.03300738334655762,,
21,iris,KMeans,4,random,10.0,500.0,0.4807553735557849,0.610664611861335,0.5962107512740424,0.03200793266296387,,
22,iris,KMeans,4,random,20.0,300.0,0.4807553735557849,0.610664611861335,0.5962107512740424,0.04799771308898926,,
23,iris,KMeans,4,random,20.0,500.0,0.4807553735557849,0.610664611861335,0.5962107512740424,0.057994842529296875,,
24,iris,KMeans,5,k-means++,10.0,300.0,0.3508871659207448,0.4670212076986913,0.42713404738721195,0.03999137878417969,,
25,iris,KMeans,5,k-means++,10.0,500.0,0.3508871659207448,0.4670212076986913,0.42713404738721195,0.04698371887207031,,
26,iris,KMeans,5,k-means++,20.0,300.0,0.3483675902819906,0.46569394095542876,0.4238040440572086,0.07856154441833496,,
27,iris,KMeans,5,k-means++,20.0,500.0,0.3483675902819906,0.46569394095542876,0.4238040440572086,0.0725553035736084,,
28,iris,KMeans,5,random,10.0,300.0,0.3483675902819906,0.46569394095542876,0.4238040440572086,0.03900623321533203,,
29,iris,KMeans,5,random,10.0,500.0,0.3483675902819906,0.46569394095542876,0.4238040440572086,0.0350039005279541,,
30,iris,KMeans,5,random,20.0,300.0,0.3483675902819906,0.46569394095542876,0.4238040440572086,0.04704165458679199,,
31,iris,KMeans,5,random,20.0,500.0,0.3483675902819906,0.46569394095542876,0.4238040440572086,0.044040679931640625,,
32,iris,KMeans,6,k-means++,10.0,300.0,0.34705672886778904,0.45413290457949784,0.34732709151313806,0.045536041259765625,,
33,iris,KMeans,6,k-means++,10.0,500.0,0.34705672886778904,0.45413290457949784,0.34732709151313806,0.050553083419799805,,
